N_app,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
12.0,0.07421,1604.2733162714703,1743.2396791014717,0.9216614754193754,1.4164419742042553,1.4602742768919732,1.5426668051405483,0.26338333433990657,0.00921875,0.399015625,1.3055505899876072,1.8993817746213113,1.4563385701514557,1736.2349844105247,1834.5991890018868,1429.305806677281,0.34942945948048904,0.27830829504883065,0.81102185645752,0.9932060123499629,6607.065699423219,0.05315384181787803,178.18909097605035,100.08542196442502,0.10049220277818052,0.1480448173595431,0.12664289309153617,0.1276585538020628,0.01685423647580856,0.030780456842573013,0.052553058660837,0.11223458053479961,0.15916940843665953,0.06019214747999091,204.55628863320072,236.04584293062007,119.09537552499337,0.08253146369649601,0.04923994959014378,0.052388772179207864,0.0006164886649686077,2471.524602635918
12.0,0.064485,1586.0289934721054,1769.702573198802,0.8970220247112026,1.4222303361090474,1.514314436124589,1.588762761555723,0.25406972257930166,0.006578125000000001,0.416078125,1.3405079357726064,1.9621669363305188,1.464911440077135,1755.477739449057,1845.3435358730117,1416.911737859568,0.4158539147591756,0.24455099672542738,0.8071718957060557,0.9933185716115506,11314.917471641418,0.04441925004995018,150.08317373722642,83.75434792507964,0.08279201242449848,0.13153158483256414,0.1079373730244389,0.10369840212290793,0.018397314468532853,0.02426637957616206,0.044143207889032886,0.09236017587857857,0.1299704029523653,0.052240005070983066,185.51374378752783,213.50467310854225,95.26945592892991,0.04260802220266164,0.03672626980432335,0.04326719468904358,0.000725666758973108,3490.237777180986
2.0,0.08666249999999998,2049.268575426984,1678.247037377172,1.221128834296156,0.24275273389345844,0.16771587959128034,0.19914389442682556,0.29090637093965555,0.0,0.123421875,0.16817766383333851,0.24548359787426624,1.4612477038695817,1678.6885982464105,2291.70892150398,1693.6025284553139,0.3182276314486774,9.620301536882078,0.13927880475889093,0.9986893225527781,756.8155215862379,0.016332746056618896,110.1918097787146,32.17533875995541,0.06234277218300454,0.016629830804678513,0.01314416318183435,0.014894109559726441,0.010178145725978348,0.0,0.021115145399318826,0.013328061692839581,0.01829209689265506,0.054117530106628835,59.388577111834394,182.66366409607576,42.17350933660991,0.018672199279538223,0.8458219602760594,0.00989810182448813,0.00017564053807982757,105.9145272796832
6.0,0.0625925,1537.782874491749,1750.5642360324323,0.8788393696158342,1.4320056060966941,1.549035468371155,1.6310435899038718,0.2629791526276914,0.00153125,0.41525,1.378611278589975,2.0122866398106525,1.4608257110002103,1742.3789760087539,1816.9893340833537,1378.582653223818,0.49017278899387334,0.252089434401503,0.7534302306732268,0.9938171745819504,11076.083006441244,0.028084897075652582,93.88282319511417,53.66427541014283,0.05338198321860958,0.08331739587256802,0.06794302422490427,0.06715585503368643,0.009994315520752505,0.009621701951188262,0.0383275357934736,0.06400640335439375,0.08720855717667235,0.053414317907341566,110.09278754689828,121.39338212922296,60.45611955798765,0.02042371952910551,0.02671588756578803,0.03357600750660667,0.0006201902866849954,2445.6125940621355
12.0,0.0783725,1606.3615672237588,1739.1845887671639,0.9252707192279357,1.4172670083631413,1.4489970681577227,1.5374905810591895,0.2648594782156489,0.0094375,0.398890625,1.30158668188178,1.892839292044135,1.4551137975279094,1735.3319312073997,1838.1875160186587,1435.139691365892,0.31769014427624603,0.2871328117897296,0.7999957805258446,0.9933075007753674,5123.824847926571,0.054439725786873686,189.92111566153264,108.38858144715704,0.10793018122996993,0.1601677553245188,0.12573372980503933,0.12762718397602615,0.017198352066069712,0.028346282273871475,0.05162817550387942,0.10926800446752179,0.16368617845477387,0.05864615699099606,216.18748780728643,252.095179967523,126.96470765779115,0.08377324511255839,0.05287235414998813,0.04937974478748643,0.0005164371648719194,1469.9877510978467
12.0,0.0829225,1622.5744062129522,1725.303695183238,0.9426000432703929,1.4154056521271685,1.4152239809250022,1.5097428221324287,0.2696206224438965,0.01046875,0.39534375,1.2780024231232645,1.8578630471723914,1.4545814419496597,1720.196462256263,1825.8596137414152,1443.4706121530949,0.29152309640851903,0.30362941865859794,0.8453204757011739,0.9937355081903141,4531.153369444499,0.057715998594410546,205.73219600245807,112.79891175032682,0.12017176213667616,0.16798013949966784,0.13707133293162765,0.14391717863826772,0.017612616729658716,0.03214005909200386,0.05359897933671405,0.12306996036558533,0.18469005182155893,0.06238061755709576,227.06135447994643,261.01969230001635,131.62495044274704,0.044580253104207344,0.05828105887575019,0.05307840935492954,0.00044938488147810713,1288.831554990325
2.0,0.08718249999999998,2047.3970964336538,1677.7234060657252,1.220350313635069,0.24216890777236436,0.167397143534291,0.19880197599042213,0.2895314955098242,0.0,0.12131249999999998,0.1679588054368974,0.24494654000194424,1.459652549809893,1677.8428978407717,2257.440104995263,1690.4114807076915,0.33830727300540736,9.553805023333641,0.13936680083371297,0.9987550259426214,750.0760322386087,0.01507860052358972,99.21623497070254,30.513567521299045,0.0549485112647058,0.01608811668527461,0.013030649213664496,0.015383282708542135,0.01106614669959767,0.0,0.020622064184993703,0.013591989962145007,0.019254496613411564,0.05569849741559178,50.12521263090756,160.00616604242876,37.93421257401325,0.015041313158930324,0.7685604814995866,0.011659280939111727,0.00011492765459863136,94.9404052777476
3.0,0.0778725,1542.1503202956299,1698.786993109058,0.9082946389001089,1.27460500995871,1.2631666239712507,1.4072640011791457,0.3122422611330276,0.00025,0.34390625,1.1908704376434853,1.733302163940152,1.456921019486536,1701.1637005295747,1792.1681317608493,1376.593110706973,0.5078816989928097,0.48938667437312566,0.6848623690891131,0.9975325515995153,1763.720243443678,0.03389618332128264,149.7560226264131,63.72269819451133,0.086639016812802,0.1037306372877966,0.07572223556761132,0.08203008049775824,0.010873375296883883,0.0036088000083130136,0.04942022256564108,0.07532399969153758,0.10152553987618433,0.0544168842575405,140.64716907158757,160.29972156211494,85.05463696092697,0.018066258754411008,0.0786953075921706,0.038630489196112304,0.00016722592927044286,646.3944058228225
2.0,0.08937499999999997,2054.3706153023422,1668.3218560693565,1.2314341271345919,0.22285596807411148,0.15184667682226136,0.1813494300134561,0.2855501491030898,0.0,0.11829687499999998,0.15255085112807,0.2243471779555477,1.4718380898706493,1667.7635830475515,2371.7004764525614,1692.6229026549065,0.31047221363967337,10.390351513646255,0.13962090200123728,0.9980467835524363,740.6833308775225,0.017056358784922416,116.55236819745458,33.864807246365096,0.06597977845182466,0.014185015332952107,0.01147085866982277,0.013280845099749307,0.01091089029890779,0.0,0.022169661623136584,0.011630084861025335,0.01689902789431344,0.05581482696042011,61.16086915324623,196.30785633654205,40.40264862560816,0.0170943778425649,0.794092926321052,0.008290347035357743,0.00015759417345661785,106.54334013779786
6.0,0.0645025,1513.8775029015856,1749.2814696083096,0.865978178291034,1.4062479379953996,1.543012492411223,1.6255203843245318,0.263214884938233,0.001078125,0.41982812499999994,1.369081965402209,2.011843235276456,1.470680901892173,1748.6417594362076,1820.0114998985332,1377.546037208157,0.4318814255946344,0.25690853613471565,0.7410115002333251,0.9936366161746002,6348.609544991254,0.032573301855200354,98.29212781137996,62.160205526415865,0.05618748194761388,0.09128824801318625,0.07236094080244963,0.07341896934306051,0.011924903682388402,0.0069814031708801206,0.03954217672605259,0.06783563480912913,0.09900941396242204,0.05862425344656406,117.46153390609929,129.87858664790994,68.15508707061306,0.044134370340943176,0.030471265537408226,0.031068435163339892,0.0005949944183768351,1403.5426221308712
