sigma_w,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
0.425,0.070165,1501.693110217866,1717.1031411712581,0.8750505837278274,1.363257967596532,1.4370085957844214,1.5597361843689317,0.30246304042717254,0.00028125000000000003,0.3894375,1.3208701301658727,1.9200345020714102,1.4549742207735086,1716.1765215743317,1796.410024579342,1349.468123589139,0.5143575883867677,0.33434303778294155,0.7206079420814714,0.9955436669665519,2696.713429829548,0.03063327888098169,109.06364528197635,57.58437403663759,0.06355425427573504,0.09709219360057422,0.06437209122085898,0.07224106189943647,0.011329607751416991,0.0026366927082047313,0.0433458565638055,0.0676292111347335,0.09717707215611184,0.06233302001271688,119.30367311407522,135.29582840243938,73.77706276105356,0.01978951776719019,0.03788751210529069,0.0374536549394572,0.00039979349592252224,492.0384306563596
0.45,0.07014749999999999,1518.8759671069959,1705.7151536738581,0.8909396230725639,1.3511621112009646,1.387871973776419,1.5191963266623472,0.32256642711005395,0.00078125,0.3906875,1.2873690447049926,1.8690826293817775,1.4531984502661164,1706.9629006320185,1798.8411979098425,1349.54581341279,0.49409466248866807,0.3789516961186426,0.7409922687556968,0.9957435582014693,2855.655943807911,0.0347951971362428,135.69617311806496,64.52929101585971,0.07776499641299352,0.11536010378192241,0.07680281131975648,0.08658423663390825,0.012661038988453471,0.007340424779091466,0.04937693825309544,0.07821448834437036,0.11326451455029603,0.06200608603257171,139.82972408908998,162.68005637421967,86.53855104603895,0.017525470085422826,0.05420807571543692,0.045057771210346334,0.00038162479198614724,816.732508562871
0.4,0.0715925,1525.0873020722427,1717.7944691363832,0.8881712569184491,1.397137842382066,1.45205226377851,1.5743331022420706,0.28922590282152955,0.0006093750000000001,0.397515625,1.3354451379592964,1.9344633086838547,1.4494795077388818,1717.989985808544,1794.3595360836107,1370.497382321219,0.48639849219996206,0.31426398580588355,0.732178015683148,0.9949083442776779,3550.003553595522,0.028380740718839583,98.06429840154374,52.81783742251286,0.056115858928326455,0.08742689063944564,0.06081301852830391,0.0630693025598304,0.011447277271451799,0.005277434827581957,0.039811319522334035,0.058093409623816816,0.08888394087046933,0.05616825795906489,107.94138350346734,123.10010000583533,63.14579002373228,0.016430846406451267,0.033256889656899664,0.03440707870977392,0.00045005100757714034,831.5324158499484
0.45,0.067135,1511.3964103841824,1714.0165340399055,0.8821834247993487,1.3425020511107981,1.3944603731714695,1.52377929330104,0.31896627869939204,0.00010937499999999999,0.39043750000000005,1.2908177763563355,1.8750368786710936,1.453813828801136,1715.765606121135,1803.9409030436045,1353.1086655065133,0.48496425445911556,0.37029428836689093,0.7313132995774052,0.9957972154202451,2996.579354090627,0.029525019475014725,116.11366962523796,55.927598951202405,0.06670175011247657,0.10148087488237906,0.07073499133515708,0.07736117417007393,0.011819699184940682,0.0015586671740224086,0.042030541350903394,0.07008082430867973,0.10410614501892879,0.06226735849042928,121.08932778835673,140.52954948621084,74.87263063339623,0.034402009605462226,0.03935287988650372,0.04058093016683057,0.0004727385156558314,1100.3093143478916
0.45,0.066585,1501.921490714413,1716.446926711239,0.8754258468643742,1.3490276853194427,1.4055386644461543,1.5426817016247216,0.3223570718144611,0.00021875000000000003,0.39121875,1.3091340956565805,1.8936615539542492,1.4478155377882223,1724.625785672908,1814.7384416592495,1344.5183341615484,0.5126124934206012,0.3572888135971008,0.7079478872473939,0.9959696924987911,3231.9789988400344,0.0288262514906118,105.73642001075496,54.36775689791729,0.06106749164306716,0.09622465097297231,0.06850754087489422,0.07638948432378437,0.01240797350204236,0.0032702195549381705,0.04542377500756074,0.06949790752325971,0.10702200298250707,0.06759232427294587,113.88071217206347,130.98337937129412,70.45262870744017,0.016129074883474044,0.04146578079404526,0.035873801845637564,0.0002671873262859917,902.2904472223897
0.425,0.06868250000000001,1532.554922724564,1715.4800286282837,0.8937283778153505,1.372171224920373,1.4096705733153292,1.53689201620619,0.30792971999685603,0.000390625,0.392796875,1.3036377582790077,1.8884974294098067,1.4501307168210666,1710.9668387179377,1795.8982836189389,1362.087415228369,0.48648092236917273,0.3542930931134017,0.7264633348677728,0.9958659867296583,3711.0566193650607,0.027395742255868865,102.2944684834755,50.90128015287174,0.059108082384699376,0.08977648959125076,0.06250176021924626,0.06805465656534887,0.009750220363417219,0.0037686709672476054,0.041923592957717436,0.06611112127355662,0.08799090358206266,0.05956100579739887,108.7800835424688,121.64893888513366,64.9120364290201,0.021314543540738074,0.038206309459066175,0.038166600901694006,0.00038178025164906223,955.5517775262791
0.4,0.072445,1528.6170531487633,1718.4547485874543,0.8898794070526046,1.3947882658307145,1.4494586437010968,1.5691700114534972,0.2862523760163459,0.000859375,0.39,1.3311061154615011,1.9280534328540944,1.4492286385805013,1714.9542487719864,1790.6419015752417,1373.7186776295305,0.4992407335751017,0.32058860747692736,0.7259772249999706,0.9951832267031999,3501.074732586702,0.028921047266653382,104.92981069212111,54.62947996788591,0.05943407926965881,0.08699018676833849,0.06212709211641254,0.06523235943381135,0.01050574594299896,0.0066249815742668305,0.035862693882361935,0.058781006675273806,0.08939702667098644,0.05186067701207137,106.28345684403483,119.14827777987786,61.47319668947268,0.02194682564549771,0.034470677508190765,0.032230996249274044,0.0004957822214721626,750.775272045715
0.375,0.0738775,1514.8932796432914,1720.6216427225768,0.8807060030485974,1.4099959284031283,1.4857661061551983,1.6026356796937136,0.2701974734957744,0.000390625,0.388046875,1.3537894640615944,1.9787192614654907,1.4624078689103994,1714.8932681155472,1785.2215751046942,1371.4129817393425,0.5436312633309863,0.28214536415379876,0.7407761273305078,0.9952754499302578,3874.267059945324,0.02952105170467338,101.78306791430197,55.45490969188977,0.05638324757087276,0.08431798158236503,0.057339256095043215,0.06272139082589831,0.011454550006893625,0.0031473807935130764,0.041832928375675246,0.05673376456245402,0.08658853635074014,0.05149185414183971,110.87910029979749,122.46664529234226,64.99019887643291,0.021535114343539007,0.03472358407827293,0.03371845350848447,0.0004648673549565469,900.4090561563052
0.4,0.07033249999999999,1513.5395414127718,1720.9411323984252,0.8796545686100292,1.3810517333625065,1.4545138474440291,1.5708993459307865,0.28604752717912013,9.375e-05,0.394203125,1.3291042202321877,1.9352152220996726,1.4571169508854518,1718.660398377565,1792.825449756196,1363.792284932904,0.5030610122250562,0.315479104157408,0.7416668028315493,0.9947709379042519,4552.37731420653,0.021004807634206007,77.65767738304794,39.33973266656804,0.04384170044034987,0.0705471472097404,0.05396936286435205,0.055621138195301886,0.010770792131337718,0.0015906833240780518,0.03862997730369997,0.05412251209851286,0.07600653068831695,0.054154237627040414,83.93688488394652,94.65950840114924,54.19960741582549,0.02449447634383176,0.035495100563810986,0.032265927227658184,0.00044898130903166386,632.4743891201155
0.425,0.0699075,1504.1783002857076,1716.253360918361,0.8769029792660079,1.3459114160214438,1.4123051666953825,1.5373762130237167,0.30741281078114924,0.000359375,0.39084375,1.2982156237677582,1.8977430260993235,1.4636070294118178,1715.9588677333697,1796.9668348669356,1351.8672576725896,0.47948048161819484,0.3551738543465462,0.7334126709741849,0.9959590045364328,2942.4821366673214,0.030214631286017687,113.35446822084549,57.23101354252417,0.06575138811873019,0.0937654792446857,0.0728426042916463,0.07861576154794239,0.012743684270168712,0.005481480717778272,0.043233005602635356,0.07489691893383371,0.10122358450612845,0.06421765123503288,118.41129263194638,135.07673392075336,75.38317631636139,0.02517052950619678,0.04202236735382834,0.04565369364681092,0.00044997180690629966,937.7768308048395
