sigma_m,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
0.35,0.07075999999999999,1513.0762500195606,1720.3382791098536,0.8797444885601294,1.3794447430463208,1.4532206071047449,1.5693710104986405,0.2875017842034229,9.375000000000002e-05,0.3905625,1.3289452491219162,1.9319004080267825,1.454718279255788,1721.5612531155057,1796.9138495822338,1367.9788430349865,0.489067495156104,0.3204646164272327,0.72395247767564,0.9951391716064064,3650.9445533489156,0.028134007890807153,99.69707480119915,52.08264254663678,0.05511157347939125,0.08415586425299819,0.05565867975760478,0.06217541729977048,0.010445024959463381,0.0009837547649185748,0.042007672290309064,0.05813596124274449,0.08483017367076971,0.05480063516801124,105.3856060522464,119.46932556175362,67.93319871984086,0.02292239928689592,0.037043457838630264,0.0352528369022929,0.00039979677325608585,1043.2650561249577
0.35,0.07087249999999999,1498.9958081417371,1724.6618970933905,0.8694552067994765,1.3847553851068821,1.4745395012419422,1.5940152701977217,0.2862895063139988,0.000390625,0.39259374999999996,1.347282806258366,1.965097507580349,1.4595825478193403,1721.924639430837,1796.0601451719876,1355.791736060208,0.5326429692865405,0.3018652672597333,0.7274940882373229,0.9950547612541769,2616.5258428397774,0.028546825458358745,96.53468899686726,51.848857561808835,0.05458634213296061,0.08564835340496557,0.05904828603226831,0.06365470461836219,0.011990357570926405,0.003970564299866581,0.040209789211552695,0.0583890433835477,0.09108833392909636,0.059604036454765814,103.64838902315745,115.6240015805794,63.49807257386309,0.017119599970309415,0.03212889627222111,0.03578236474446685,0.00033026808884088066,632.8087820550865
0.325,0.07237,1514.9254374696163,1720.1326863653237,0.8811358760600165,1.384621867820088,1.4516067441186902,1.5731083571676532,0.2878527070651749,0.000703125,0.396203125,1.3299140514683114,1.9393252338299038,1.4594870157625335,1723.825713905166,1800.3819123927499,1373.0293076459243,0.47762737516380677,0.31635603672495,0.7327555297798074,0.9962652851498399,3147.59960104687,0.03078080733184234,105.66839528209732,58.11204437915206,0.060359816981037234,0.09166295212637231,0.0634227095833421,0.06843916418713679,0.009907040520682014,0.005228541525547541,0.04155354403037574,0.06462121345744942,0.09089226250372665,0.0576515718002035,119.76047238482353,134.26202696413503,69.74169321139631,0.013987593403230551,0.034929495684069084,0.03047144329875941,0.000392241066716751,980.5400212711166
0.375,0.0711425,1505.5445375481902,1721.298497500932,0.8750825693857578,1.3793409824639213,1.458512317091389,1.5782223610231785,0.28797827633286155,0.0003125,0.38878125,1.3367190744625561,1.942823650739072,1.454635412793458,1719.9160365529317,1796.8721355644711,1355.060788151271,0.5374271573680592,0.31288634509694274,0.7238657153843558,0.9946497840143561,3554.210288572664,0.027901562568250528,95.03191611525541,52.732668032540545,0.05542021696015809,0.08162607670973747,0.06615339289791929,0.07044896339289633,0.011320585222233108,0.0032625957840345474,0.04164253337559448,0.06544877480131314,0.09460212474276464,0.058744350963779175,108.57896461017717,120.17572048658754,62.823974378342605,0.01924649302915384,0.0400153845801006,0.03353096671566326,0.00041123911139390325,730.8571745418114
0.4,0.069315,1526.7654397965662,1718.0035623674485,0.88891954295277,1.4003382178381312,1.4538905573118956,1.5767496293670493,0.28901174695198145,0.00028125000000000003,0.38290625000000006,1.3402726336359936,1.9332176382807995,1.4435901094592205,1715.0377359797758,1795.5491543206685,1359.82672196155,0.5524124277528507,0.31173401129913364,0.7271481204650079,0.9934571916143966,4046.360676173888,0.021992857363244075,85.03229893201593,42.0403760727528,0.04899323396431536,0.07158886764158033,0.05894754951776403,0.05885148091745185,0.011323115900107185,0.0030807808973537867,0.03831141668533676,0.05765484788158578,0.0787529119982347,0.05510058688927272,92.57452377203028,102.7874460391971,55.55158504411809,0.019768367986566285,0.03520399212581128,0.033176448434377996,0.0005889171221868902,984.0384879694122
0.4,0.069815,1503.871821690813,1722.952110507908,0.8730959753496106,1.3798742808105515,1.458396093581613,1.5824368875663912,0.28831808085105765,0.000125,0.378984375,1.3382857800770052,1.9505259080664252,1.4584021606395714,1715.1796593794727,1791.8748544697644,1346.9896378712717,0.5653785150608543,0.3107827263576426,0.7186620090861449,0.9933798322221729,3131.8423596335656,0.024516540844907116,101.3358318349049,45.60450172464481,0.05795697813855672,0.08095209296637951,0.055976541112708514,0.06264732536110762,0.011095342659189952,0.0017070625354684578,0.04071916670450631,0.056390729967707706,0.09258100804387218,0.06105770576535265,101.5011043189759,111.04959165536768,61.10588192624028,0.01922264433679089,0.03589613928167602,0.037419758761252156,0.0007299054511445046,1024.3334731618284
0.35,0.0727225,1508.1006071780107,1717.720798783267,0.8784563197003075,1.3851693981465059,1.458587924126743,1.5786001568864825,0.28788844896389926,0.000484375,0.39209374999999996,1.3354351244163931,1.9456729700189286,1.4579174529029322,1724.3728141485935,1800.9371612708928,1363.5455549381677,0.5003237521428088,0.31435524022730194,0.7261944198025718,0.9949206152351178,3580.906240338917,0.03198015781308777,105.84069920521571,60.23468314314162,0.06086476538630202,0.09396269145610825,0.06843245122801189,0.0729971103998664,0.01161324551513021,0.005999654124145407,0.04283178169814443,0.06636265013540128,0.09723239941173792,0.05399577935594791,116.64477372445148,129.45540401535285,71.26227574689962,0.050515093945035346,0.04123326120114361,0.03356659303795818,0.0004130745844791658,761.0092514981392
0.4,0.0714475,1508.2667461847263,1720.1222666687465,0.8772075565842323,1.3588633688666523,1.4328358708894666,1.5511175996048405,0.2878911326702092,4.6875e-05,0.38331250000000006,1.3120725843393972,1.9110704824242308,1.4582118263603852,1718.2034187877882,1796.8946841402603,1358.0025526805634,0.47949194159703895,0.33293868241927016,0.7229374389993259,0.9937208271947716,2931.494998038233,0.027314597631120235,100.99638165390272,51.02598698164952,0.05836176670492876,0.07988903925039202,0.05936764185367783,0.06354003405634669,0.00991428942278294,0.0009363273916611647,0.03957839333209472,0.06436048615819392,0.08114910168387054,0.06017059504635172,107.0896265044366,119.83370994515573,65.94486296285037,0.01861564388601806,0.03984570229366763,0.03061674925481156,0.0007101961459839139,602.7190742972281
0.3,0.07256750000000001,1525.839934960179,1714.6857501580387,0.8904083747673434,1.4001555691331535,1.4563692305012517,1.573943739240624,0.28941180916188275,0.0013593750000000001,0.396453125,1.3362460309453896,1.9329278429960124,1.4476696322553295,1719.1346251907346,1794.1447438882608,1373.3590004687192,0.5062221819791907,0.3159049518252593,0.7371478374804257,0.9965476639396752,3690.6826068497367,0.029876335848795097,105.09153919390718,55.7959572482462,0.062344480126073014,0.09714190661296615,0.06109427819920111,0.06634233424174632,0.010463571768760786,0.008065149152952783,0.04059635709006875,0.06199645288364021,0.09008998384039725,0.05751353630591054,110.0645409831423,121.98521191494739,67.68280769953125,0.020841611989325333,0.030759432671767364,0.043356414870525876,0.0002620057535428552,826.5883573534488
0.35,0.07196,1507.2476191019623,1719.6496623201924,0.8768650512352594,1.385858545418131,1.463968013297494,1.581907495524448,0.2845883578593033,0.00040624999999999993,0.390859375,1.336854535533546,1.9510945706128597,1.460913522272972,1720.589005043221,1795.701230915371,1364.404073398282,0.515247944792677,0.3040718361051923,0.7357559548908246,0.9950855554019301,3361.5126878745446,0.02876427297881869,97.30448184320157,53.732986387239364,0.05585915579505178,0.08660103651917314,0.05959381679132911,0.06522469145489154,0.009149196805693666,0.00486447180457447,0.03896041347777735,0.06431170318164645,0.08345791352320435,0.056757378128498154,113.11707038223574,127.7961808509657,66.60219713403825,0.021148632354541275,0.030963720386864284,0.032955533615290446,0.000460388355230265,809.9638960546428
