lambda_LM,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
10.0,0.06626,1500.7668780799704,1745.1978123158851,0.8602932903665698,1.356173722056739,1.4936846322776431,1.5779658503236709,0.2612424745108917,0.00021875000000000003,0.372109375,1.330587889141779,1.9519232109692772,1.4680752026726116,1741.2581862399122,1805.467284094927,1369.3521031879293,0.5388055656175098,0.2998996596636298,0.6947473835381313,0.9932911448893778,4203.547779881107,0.024824733634019096,84.64469789598218,47.08410878881267,0.0492217352036384,0.07470516835437192,0.06350663210487068,0.06605078541086548,0.00917284885230615,0.00327021955493817,0.038526874624856024,0.06283670902445392,0.08274757733558126,0.04837997750102179,100.98851979252639,110.76784513165039,57.01311893529645,0.036381315717034214,0.03417482468522549,0.030530044178555166,0.0007964571909230409,611.9919289802502
1.0,0.075185,1628.0255527700022,1664.350956899149,0.9789506007331278,1.3980010073664175,1.2222591991312248,1.4319612766441885,0.35225493631217125,0.0019687499999999996,0.402921875,1.216572831053624,1.756226553992459,1.4451296743614122,1664.5478789734923,1772.5324519053167,1395.850100473079,0.3589823303330712,0.4471814640622688,0.8365236776317295,0.9979372979714776,3212.8644959323537,0.02884130328192537,139.0484506743219,54.34178723162974,0.08681798519629498,0.1060853813266209,0.07824367501611314,0.08250658699318414,0.016275035664215606,0.010790575676834856,0.04408529718323758,0.07338044783669677,0.11871676527807652,0.08047101859883174,113.44622493464243,132.3927473108664,71.83791463672995,0.011246178430672339,0.06925721107039676,0.05472739817844234,0.00015199129536648298,788.8653812080943
1.0,0.0720725,1582.1579153056978,1673.8565400183493,0.945407574691372,1.3875059910203067,1.2595987747175743,1.4689880720011614,0.34936809183178197,0.001296875,0.3981874999999999,1.2420144557755746,1.8105162074960723,1.4597444685254424,1672.0751357394236,1776.3611220530981,1369.1433144568955,0.455103736505677,0.41517363110581174,0.8110708807079365,0.9978141674071775,2947.6937067767217,0.024051449930305637,95.96239167441065,43.29804433666523,0.05515921784306047,0.09079174516113707,0.07197853724738233,0.07712858883522934,0.012879648706010187,0.01022107914969721,0.04387077080756617,0.07393401866313053,0.10318263467192665,0.0729997470170802,88.98999645608846,103.12943608156196,59.246249659636156,0.01639309336768927,0.061826201136968094,0.04352445849216706,0.00016439172480086484,624.751890354363
8.0,0.06990249999999999,1481.9817607839207,1737.856364026879,0.8533139195745568,1.346218227742616,1.4886314786053219,1.580237990751835,0.2668190791031375,0.000171875,0.36590625000000004,1.3272608094362075,1.9623580999173371,1.4798690041844282,1737.1525242059288,1806.6113444316602,1357.2180371953332,0.5758835926078045,0.3018192868754905,0.6978556979496865,0.9936619392427672,2463.7852489475767,0.032200434682625,112.59119693295547,60.923193468581545,0.06500598515809912,0.09203647944056868,0.07435522884257491,0.07547058732282003,0.011057503818301511,0.002041978877063864,0.03987919991596497,0.07108909834878706,0.09572122212828496,0.05482147355602549,125.70763550611686,140.6019483192698,72.65674790444486,0.02471374864474419,0.03983870781064318,0.03176953117727613,0.0007011524964831504,520.9966267814423
5.0,0.0715225,1487.6921234820018,1728.8621228269947,0.8609019813134515,1.3647469295058676,1.4838698442743254,1.5864489131003312,0.27423891831198083,0.000359375,0.38171875,1.3391703455483432,1.9594084528306752,1.4641711187750195,1729.2819337470416,1800.0811139224825,1357.0515130254091,0.5540021398085127,0.30059293538374715,0.7123578062454547,0.9944181370686519,2954.228124713299,0.034421933323827106,108.2179507170362,63.9365639505975,0.05992640250272721,0.099278813758482,0.06857618410559634,0.07124501230454364,0.010272230937428847,0.003973514610439354,0.04736591890207029,0.06596753200772565,0.09342299337788415,0.05194295321141511,124.21447567092113,139.1275866096582,74.96242868512869,0.020482039645745524,0.039721904839437897,0.03568533955939957,0.0004711447046536808,822.0934711167695
1.0,0.07275749999999999,1610.6491543851898,1666.259802601979,0.9669970517265599,1.3886092758980784,1.2269432196663654,1.4381065460814335,0.35111184168276466,0.0006093750000000001,0.40448437499999995,1.2205779019967065,1.7649159176165516,1.4476027256177537,1666.0668290552876,1777.4830381460895,1385.9194200063152,0.3999610113295533,0.43478822516447324,0.8268260808648293,0.9979272524658487,3401.185529958741,0.025307680528843392,114.68362568880353,47.85203017429006,0.06846878567363719,0.09033892625852076,0.06060192374939487,0.06724196549541045,0.012922716184139739,0.004454605017212525,0.039045092996551754,0.06313641297843268,0.09525164029122922,0.07200757221275397,102.28489198193573,120.94009539586445,63.71978972477545,0.012629807558832478,0.04999506111197257,0.04963671383402064,7.8106835395293e-05,756.0807476745614
10.0,0.07191499999999999,1491.3263796695235,1737.604526382076,0.8589681613312854,1.3469100835641057,1.4852891946443305,1.5710997639123285,0.26305256461432125,0.00078125,0.365609375,1.3242053921266308,1.9434402066998806,1.469050663679345,1732.7591223219833,1800.410137177607,1359.541078097447,0.5785815810540189,0.30743634849315543,0.6917977162845139,0.993162701591125,3048.174435514761,0.03407664559489386,119.35539195648028,65.08017065776296,0.06982264475918465,0.09964318053214213,0.08103324999527751,0.083121553170954,0.013289800994858214,0.005605434723328781,0.04218865449809196,0.07763588698499588,0.10282329449143214,0.05311392005401035,134.9706707074086,148.42145460795115,78.23555385856073,0.028525966076891736,0.042250942704280765,0.037850003813774256,0.0007404699840214177,973.2842981113251
2.0,0.0725325,1537.0339370648978,1702.9005961352311,0.902878250931273,1.3967543691171544,1.4002917292293702,1.5482517628503074,0.3075039794779518,0.00075,0.403046875,1.3135407406502935,1.9017228037474245,1.4490574843498814,1700.0769660203189,1785.4519243551924,1364.5348732556095,0.5043697922811508,0.3352745910535691,0.7755632361939684,0.9967726628727602,3931.9928505763014,0.027435177122628517,97.23772287523953,50.40375752507204,0.05529055904192629,0.08394371257954039,0.0558302883073712,0.05981028816195565,0.010264006305604234,0.007630633165078767,0.04132561429046609,0.05704568664972819,0.08742957610046181,0.06499281205796537,103.10801378650991,116.39418839033685,61.871928769169045,0.01344082419599194,0.03402728735236478,0.03863239583525248,0.0001971637881598546,881.201173152411
2.0,0.0743275,1548.4620634570183,1698.2007009858069,0.9122640914488278,1.4099537164467824,1.3896903998518144,1.547186205301682,0.3138748960840852,0.001,0.40068750000000003,1.314481045832545,1.8974980451590902,1.4445449564358328,1695.983998964522,1784.4020775304036,1369.9529799536185,0.4713072271765344,0.34702627459906005,0.7604085266712679,0.9968367072852601,3681.8820449039595,0.030849882394427357,106.30190057176637,57.885613568348994,0.06115178854327573,0.09141196205060825,0.062333218263292675,0.06681223209113855,0.01130339434711603,0.006801883930206395,0.04320097474305412,0.06104275494700921,0.0935791609965941,0.059455261615329186,111.78138046928318,127.64677812325101,68.0140184473835,0.015590532257259752,0.03895202100016792,0.03596500538361766,0.0002140656835445924,629.1017985492199
1.0,0.074225,1592.8989223670128,1666.8182439406019,0.9559407897417157,1.3853757625741299,1.2402660664667287,1.4515310566578348,0.34994343260019706,0.00103125,0.39637500000000003,1.2317919240794217,1.7820432736402014,1.448167540301015,1667.116849114424,1775.5501827821022,1374.7313010662183,0.4476341272357615,0.4269418015016906,0.8139585038710224,0.9978287112750044,3492.1792085873735,0.026451547686288587,113.85442555473779,49.759588733829865,0.06632159051981103,0.08647145068889113,0.0662060888630505,0.06991942197290786,0.014772512202847603,0.008767337733742211,0.04526985061826469,0.06433372796313987,0.0981344988986077,0.07021871693233486,103.26611154463222,121.67299733954799,66.80394056010907,0.013957346591617029,0.06006539839128599,0.041522033102504984,6.801526118902662e-05,621.108458710852
10.0,0.06950750000000001,1478.9528329564707,1740.8975584925356,0.8501860356258057,1.3425790614260442,1.49299170756016,1.5812280647033823,0.26524141809009516,0.000671875,0.36821875,1.329843464294474,1.9612267625994113,1.4758638512966933,1744.879666265679,1811.7643242930521,1353.855909679088,0.6094050972852594,0.29937018796346154,0.6977487440237621,0.9935839937623215,3829.3673729883394,0.03330367763100644,100.06207330140634,62.053867745932266,0.0590750229234645,0.09079015191473283,0.0748926768989234,0.07752846550462625,0.010286791888434121,0.005782326757835032,0.03736056106962929,0.07050759591737685,0.0999818608248845,0.0523862107103263,120.66860830666953,132.35811510867694,68.52406842897523,0.0295642813122936,0.03323769778139254,0.03292044071318354,0.0006592259264972245,596.1079580072847
2.0,0.07384249999999999,1544.5738401737879,1701.794444335366,0.9080135890388205,1.4074142016596438,1.3981272748739564,1.5515689551097853,0.31009478866262313,0.001140625,0.40362499999999996,1.3160925425558776,1.9064873130194406,1.4498398244899602,1702.9149186529842,1791.5683051521803,1373.1168782304626,0.44559002432349987,0.34036477093820316,0.7513999050768422,0.9966918893601772,3224.122320860799,0.028669891763834734,101.17826093027875,52.94470259759751,0.0587495226290723,0.09068258164758607,0.062422867272520666,0.06951953914406904,0.010988443101077362,0.009226307812953945,0.04318998726556886,0.06498097099901565,0.09529387484749521,0.06144517840965177,111.32625714045069,127.53995642030861,64.83322362060252,0.029015436883282553,0.041988064758112356,0.0367081068241406,0.00018630254365340895,622.97580317332
5.0,0.06944999999999998,1479.1611853015047,1730.6972136647248,0.854947175298629,1.3610151424166508,1.4935964479714852,1.5935061151605208,0.2737932296453258,0.00029687500000000005,0.38379687500000004,1.3426247658685941,1.9716708132467295,1.4697653195280984,1728.5805916155957,1796.443271189032,1348.8642155349442,0.5774008179581807,0.2921885178848813,0.7424179254007685,0.9946233392690257,3579.5783106038148,0.025583637348899374,91.49162144247383,47.681605786074634,0.05220646900508949,0.07601866679728923,0.057442359229348615,0.05976734192985075,0.01037268765028299,0.0037772124621703517,0.038038551450921144,0.0589202810210399,0.07800895428755293,0.05370360081527842,100.81221451382173,111.2849282659408,59.748223240583286,0.015080220626424267,0.030915999605000497,0.032207352231242735,0.0006051646335997963,915.5803728715077
