min_w_par,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
0.8,0.0883775,1528.2167754049324,1728.306978707891,0.884619696486162,1.4962513905161205,1.4891348385843066,1.692693005111864,0.1892225550647672,0.0028125,0.382359375,1.4169934448349986,2.103914160700791,1.4848663291906832,1736.6857527999266,1785.4393786193477,1433.5486217767238,0.49305121360179543,0.18524568420864823,0.7668709896274382,0.9931883457002152,5162.51834509583,0.03135131566218553,81.71631041668594,58.11988367176386,0.04523886125243886,0.06827957281424084,0.05549046047062421,0.05337393541802792,0.008899079959675005,0.012643705202589945,0.03912419814973049,0.04081786327992788,0.0866460975362084,0.04670651817305857,97.87747131429725,105.95029636039501,57.716747841322345,0.047707031247529,0.023191714901913765,0.02763981936441487,0.0007795029079872478,1079.1677344189006
0.8,0.08657999999999998,1535.3889930326188,1728.7017932449974,0.8885078500033142,1.505529268143294,1.495711696268646,1.6955310441256464,0.18891179046116194,0.002265625,0.3818125,1.4195801421993002,2.1086056747908115,1.4853818868615372,1726.8747656740366,1775.8207226558923,1431.7344429844659,0.522573205324487,0.1827207407480377,0.7707410495124895,0.9925268490052096,5655.3720256531915,0.026941763119736614,69.13591487579802,49.02249283859068,0.03931964852537924,0.05700200939850133,0.0484512245417152,0.04677286147305398,0.007432598116647888,0.010627010379658759,0.03871818250189438,0.03574419490982193,0.0752312851616368,0.03798911877293081,84.44338443155412,89.26634481146384,46.10871028855866,0.04567478144214499,0.020979676039540523,0.02343857264123766,0.0007979787055432966,457.7517080687752
0.2,0.0746225,1539.2135724447528,1719.9695645229,0.8954962692901371,1.3912779831415074,1.4251008986821367,1.5558085285553047,0.27310322017939576,0.0013750000000000001,0.3878125,1.3113444114945492,1.9249016809404396,1.4692536700334773,1721.6943263209632,1794.2176906361785,1391.1153642966249,0.4282411308427357,0.322049872770816,0.7371724721092211,0.9948086630723278,3180.7361668016365,0.03357804332819289,111.85599665584637,61.49379504582145,0.06537334187388866,0.09724186668821773,0.07033503553096444,0.0762893078470305,0.01057302514963817,0.010196506754766558,0.039554402804871165,0.0722706184320486,0.09442705949047425,0.052670156559159215,125.49800567353833,141.33942649645533,73.90622506855001,0.06079133337236159,0.043987589231059804,0.034321364682232756,0.000573242822107397,866.4369201709026
0.8,0.08677249999999999,1534.2940200898572,1728.885791316437,0.88772888616763,1.5132780304695381,1.5012297676721846,1.7057696978035033,0.18945345762047158,0.0029062500000000004,0.38464062499999996,1.4274045858476716,2.121837550628269,1.4866487267636712,1721.2524037867688,1770.134975089882,1425.8399427117856,0.5495024564551442,0.17470671758231077,0.7812490370654974,0.9931587757228941,5195.192778277166,0.026414309450561068,76.25393401096213,48.7997265013673,0.04270234719778083,0.06460367660117067,0.05235095884932919,0.048168078336630976,0.007629898763072048,0.011221796243806068,0.036135700053539506,0.038306427814360486,0.07635322627033768,0.04135859342430481,94.90114209012438,101.74727483708422,51.54306594349646,0.020245052156582483,0.019289668965500485,0.028371229686664955,0.0007267062953932,848.8120496160099
0.8,0.08634999999999998,1531.3522284976225,1729.1563425092836,0.8859353118058217,1.4986963572271412,1.4930176709761915,1.6926775820680098,0.18900831489783498,0.001953125,0.38631249999999995,1.4163520270626475,2.1052098342896306,1.486694519851924,1726.6949672964238,1774.767585569873,1429.9813187787659,0.5017011538653412,0.1841643035420114,0.7716585986855587,0.9929872713040256,4271.895227405977,0.0277334184694206,72.92776611497258,49.8751588192052,0.0412851014141156,0.06213007716354461,0.05204345886899652,0.04660915539662296,0.008051933667579598,0.00913194031870418,0.034612193028613486,0.040098624970794965,0.0717874506871395,0.042457785379676136,83.2822618059982,89.0654263065702,49.90846289827196,0.036678428246254925,0.022218874214285898,0.025115564448952677,0.0006488048812396903,687.1716731498311
0.2,0.070525,1514.954355908377,1730.949001655553,0.875432792527571,1.4006723435324728,1.4702761993808349,1.6014494343313803,0.268091454280385,0.00020312500000000002,0.39321875,1.352485999394434,1.9768891825597021,1.4628267741246246,1728.4319400491054,1794.8528175366716,1376.4204120600316,0.47862477770315126,0.28800797710560355,0.73086825518967,0.9950243729263809,3882.929434321755,0.023231538369208334,82.29512030113742,43.570413314025934,0.04633218035912583,0.06628289399685132,0.05597333004588868,0.057758731070307316,0.009033966394119382,0.0032562664946799115,0.038574590385867996,0.05659798337688315,0.07712439947290442,0.05366453948008273,89.34833972100058,97.63254999214888,55.38728498574459,0.036731948775617314,0.03206074139709125,0.03077517226811315,0.0005010606185433095,888.4317068976362
1e-14,0.07124749999999999,1523.7526640142378,1718.1367896360264,0.8872451572867613,1.3794740772423126,1.434608341265496,1.556836376351106,0.28911370357270044,0.000625,0.38521875,1.3179689986633882,1.9176811829386207,1.4563443469122301,1718.3660857693528,1796.0099513861724,1369.28475377266,0.5065967472830717,0.3266336978099733,0.7310218639971692,0.9949001425733605,3976.0379215015246,0.027871154331135965,103.00051231422889,51.570162030083004,0.0596936379604227,0.08462536083004955,0.0627694988493326,0.06818629028641696,0.010009284413446931,0.005448623679425842,0.03888423071680215,0.06479793220090901,0.08943742180698783,0.05801100756244573,110.8405803476977,124.09169333475266,65.36350507467621,0.02956476118196601,0.03912715096808798,0.032414129413170796,0.00045395999700491475,861.5615929277691
0.6,0.07678499999999999,1516.2977128406978,1736.2041617052973,0.8736601342386396,1.4528657272031473,1.4972683962683067,1.6643383227493616,0.22038173986715606,0.001203125,0.3891875,1.3946083027577236,2.070553449123034,1.485229325298529,1728.6836173965348,1781.191921235849,1394.708460469221,0.5270880522639493,0.21966350972556234,0.7616881125174464,0.993435893890136,5154.865263378993,0.026593773237357635,80.50678509802381,48.4025021127199,0.04593775155789123,0.06974457576323814,0.05382523010748611,0.05758093291459542,0.006963992474352972,0.007869650340667937,0.035037424188287584,0.05201920033954293,0.07849042494233735,0.04185026396423309,99.52470781654213,106.97217899304263,54.39826512330373,0.04318712137379374,0.02253990501716202,0.030786861721441967,0.0006206196665286969,1316.3902917784255
0.4,0.07406499999999999,1514.9663159970648,1731.9253863963438,0.8751091672277493,1.4202438021868846,1.4733825969381251,1.6244444436109753,0.24699940402082704,0.0009218750000000001,0.38928124999999997,1.3660614625109084,2.0152136104987557,1.4762231586484773,1730.5652434794422,1792.4285983431866,1385.5297090378474,0.5131983549807793,0.25664270027307334,0.7369428810135775,0.9943808189555569,3838.6462898857662,0.027593310330585548,94.41929603660431,51.777052202677325,0.05432677026434689,0.08327786469725622,0.05797286524989754,0.061977940037448484,0.008153346490353012,0.007141821562764993,0.03925018660385578,0.05868654980823289,0.08073527720973335,0.049916897997014396,111.55652082197707,121.0117460795126,60.0207000513147,0.024935430593580093,0.029012068921814446,0.033862104398779305,0.0005089230524201354,836.1077762524075
0.6,0.07758999999999999,1501.6297909658147,1736.5448553289468,0.8651552867926398,1.4459755890969421,1.5051604247044224,1.6723891822006807,0.22062473452726342,0.001078125,0.390671875,1.401368545748585,2.080527737161973,1.4855533582571951,1740.6295737153664,1792.9469738454236,1393.2624457813818,0.513643006519917,0.21768777235340894,0.7477661211476498,0.993697952369427,4103.6791194552925,0.02919480947017807,80.37452124657314,54.747418310353574,0.04622742104643458,0.07725454754582983,0.05512072616885605,0.05927697795433343,0.007043442645130655,0.006242945237175719,0.035892604429525236,0.05621166685886383,0.07966463191108575,0.04927323599597647,101.98317292587994,110.10509251915704,58.45134068035452,0.019583034311626734,0.022899072702875712,0.029785169634875413,0.0006395245973813779,674.0357713047719
