N_good,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
2.0,0.1164625,1582.8275331469422,1618.0063979245053,0.9761538413960106,1.0995045359990092,1.017005525609116,1.1383575995238275,0.31520088309900346,0.0,0.18868749999999998,0.9673897501478441,1.3974967522226875,1.4501557491088315,1620.9777971553995,1853.624965057121,1417.1061769843293,0.4522292220732602,0.8245272881033854,0.6020232323104913,0.9963662226436912,787.0910396518256,0.10709854617944166,433.7518092228529,197.27143804433393,0.22441317581205564,0.21873001875157103,0.08505013409133753,0.10249491986331756,0.022107823550875195,0.0,0.09837625078620348,0.10277286147904299,0.11246991098437684,0.08120764164158623,320.30057008014876,438.6464519015911,201.13876966446063,0.03506180363060763,0.25529937968369565,0.06723181965969963,0.00035808544523447175,532.9904754367711
12.0,0.07609749999999998,1545.53832569579,1711.9936354690979,0.9030414845591043,1.4336452818484207,1.4517348583708733,1.5900023805729375,0.3037105581836309,0.004968749999999999,0.48854687500000005,1.3512840044751633,1.949343289085842,1.4436558531612016,1710.9690265572394,1776.9403047560265,1358.6673948064508,0.3297769567972963,0.3243411797862852,0.745159054342293,0.9970962236873688,2987.42864806342,0.02466420470540251,89.35283058838291,41.376653499841105,0.05240636095080511,0.06544270418150722,0.06381309857894833,0.06690445602060341,0.010275801217398052,0.016551263877344836,0.036499381282213195,0.0620083581092392,0.09332242132394705,0.05885531492215428,89.1596481981415,99.54056652355929,55.304434477622,0.06937120268770332,0.03528130240679351,0.03339271426011253,0.00026091816731926474,659.2465015435057
2.0,0.12053250000000001,1584.601313849735,1612.0638580806792,0.9802346051702808,1.0710540977470582,0.9886524093577429,1.1057561873346229,0.3145422544633609,0.000125,0.181609375,0.9398017212971379,1.3573730022945938,1.4483955235905228,1610.4478646192774,1848.3511429396167,1405.6273443262578,0.48787512756951995,0.8863929670177282,0.5818494703440159,0.9963894512908026,761.3762476714768,0.11192827589018782,461.0374482664142,207.1923187773766,0.238202126835374,0.2245806450131527,0.08641103506666627,0.10426457883244628,0.02246116740079308,0.0024968730444297725,0.09817956161217758,0.09975714879578607,0.1174696142636353,0.06578134208671263,329.2375299776958,451.98354710005043,201.82685459005634,0.03069679573151395,0.28219466274437505,0.06870698015248485,0.0003173301765738332,553.0511260088849
6.0,0.07262249999999999,1521.5800188134795,1716.2820886670588,0.8867404700849123,1.4167584500380526,1.4701503973360293,1.5995106996702515,0.29553832268836855,0.00121875,0.44481250000000006,1.3539990692622796,1.969438827384613,1.455537033179505,1715.2561255810856,1784.8748145311436,1354.6537132846313,0.4399791977715537,0.30703872002072335,0.7380691191790784,0.9960476701554362,2999.495939984408,0.022998695479309238,88.95938504622879,41.004861745246814,0.05058731910124718,0.06948023519016402,0.05117965087744873,0.060124273091323135,0.011081553701201565,0.008177653907906595,0.03509813251798449,0.05605319110470843,0.08677417710959448,0.05842802638579974,92.83388093863373,101.90407930141768,54.61638790209217,0.015762050935732855,0.03204419593202439,0.031459522150556,0.00037476763443392903,613.3259418888284
12.0,0.07607499999999999,1501.9498958870909,1714.4395883746836,0.8763279770897435,1.4210583936646515,1.4808752836789316,1.6243349749709146,0.3041361836564293,0.005234375,0.48645312500000004,1.3769995367906103,1.9961667050092993,1.4507977623331572,1718.7811491647365,1782.354081570642,1334.5306721168145,0.41074479297813504,0.3007747021741478,0.7402002077717588,0.9969844157629747,2440.539555562253,0.027443111612934844,93.05224102900432,43.22542176144653,0.05406156421600621,0.06859093922207911,0.06340164901561954,0.07010006067291236,0.01116625894942803,0.018018104772960307,0.04108368163254572,0.06327924433528571,0.10287985518069628,0.06692792531727774,88.39620611476124,95.02063301808914,52.79179458371006,0.027130228344361802,0.034740299543304876,0.03665031608219161,0.000357403446855177,419.8868465986044
2.0,0.1180525,1601.3187816447019,1616.7537980699265,0.9881593937577562,1.0693332687201111,0.9809718023347851,1.0935777913366882,0.312804560114528,0.0,0.1765,0.9299024283190476,1.3421839227752321,1.448996694696637,1613.3045188206916,1855.2201920628243,1422.8965640401327,0.4477515174100635,0.9107963375000695,0.5859410674480284,0.9964538455047466,751.8749965460572,0.1101385479464388,450.61843722850546,204.6565051531724,0.23320508853488084,0.2210972509763713,0.08167649655504128,0.09792248736494813,0.022130862545432423,0.0,0.09519765622114865,0.09897499317308353,0.1038643280134753,0.07530792231110285,321.1315637310336,444.05981562094746,202.03140908856375,0.03643921662139717,0.28253058167918077,0.06738147268920754,0.00032503137723361857,537.2646503866323
6.0,0.07301,1513.0177898592065,1718.1129576610442,0.8809960734943661,1.4031331849400357,1.4650700624153128,1.5951951888377165,0.29499836984459604,0.001875,0.43959374999999995,1.3487565124938885,1.9661442544073588,1.4587527160172769,1718.9594081210657,1787.0333131604516,1352.027929433501,0.43251925972905936,0.3119726543274999,0.7310487491363896,0.9960411391455515,2762.4421886582445,0.026763499397500307,97.13492813902138,48.83881773882098,0.05669359443193235,0.07495068768693798,0.06920643373494083,0.07000937029252093,0.010288032802548929,0.011119029296660747,0.038864636379844074,0.0641463961747665,0.09463396943354996,0.05529204348208409,99.27476233619986,108.15318294369116,61.90643674061046,0.05372576021393703,0.039054617576782316,0.03164272122322805,0.00036645042336063045,435.7275009556756
3.0,0.0847475,1523.968806657513,1694.4062831239833,0.9007555102117873,1.3343701766592266,1.3657660142497168,1.4855906886597856,0.2946587382107851,0.0007656249999999999,0.329828125,1.2562545795476177,1.8315768940948158,1.4607743780873002,1697.5739183121268,1799.2787884837576,1381.503059789486,0.5059994578360457,0.39024056397639284,0.7115178499892323,0.9946369882163961,2149.746544451621,0.0590043112301974,200.34906175469408,109.79290121455581,0.1129487479152373,0.16242111458579367,0.0962415111687902,0.1051381096015246,0.01297334922959887,0.006738687714189981,0.07006713960719657,0.10067369480420695,0.12249496200920112,0.06443587723149131,208.18831058062295,240.73561612496113,129.9526024208191,0.03299338155522703,0.07775266182485728,0.052642799127249805,0.0005486180652162059,834.8302472347941
6.0,0.07231749999999999,1500.7736687412116,1720.753507513287,0.8724779019004714,1.4155205711830867,1.495114501530996,1.623939429708524,0.2918725750856311,0.001484375,0.44270312500000003,1.3729456491264653,2.002473645016873,1.4594035415211482,1716.0273808144411,1781.7618133981482,1343.3430037984206,0.4879077441922535,0.2912458771066656,0.7282446082788806,0.9961733642258931,2902.1875697666346,0.021357708064069024,76.60146439046974,39.95354402805299,0.046062642082526785,0.06840884281673222,0.05703957034516883,0.061205087516148116,0.010248999569697997,0.008951025059141271,0.03671546195384685,0.05597096867531058,0.08829244085005745,0.056636100576774324,85.7848988905298,92.29151838292276,52.201008020472344,0.014220067139676192,0.028427225329209122,0.032292873688856735,0.00035049604326822825,506.8750159028046
2.0,0.120305,1586.1441842996248,1610.5269658790278,0.9824180999455976,1.0746226179207274,0.985004918353517,1.1059307054091467,0.31637020568936003,3.125e-05,0.18489062500000003,0.9376395710400588,1.3611301566949647,1.4567589444561913,1608.660056702802,1844.1702625350288,1408.5095292738208,0.4644757252094389,0.8788273218173391,0.5961776563652443,0.9964896467339297,756.9161111811634,0.11245153167031564,459.6056737380176,208.2712168054554,0.2383654669986091,0.2282701442990931,0.0810077720547101,0.09964323307286374,0.023020404591918696,0.0006242182611074431,0.09816145695159265,0.09896284157968407,0.10844569784665395,0.07297078338234478,329.97834233215707,451.6511889272515,204.7153334802753,0.02258437593011712,0.27634214151623043,0.07054039871188375,0.0002455786413610528,554.2873139653872
